index,artist
1589,The Braids
1590,The Brand New Heavies
1591,The Brat Pack
1592,The Braxtons
1593,The Breeders
1594,The Brian Setzer Orchestra
1595,The Bucketheads
1596,The Chemical Brothers
1597,The Chimes
1598,The Click
1599,The College Boyz
1600,The Commitments
1601,The Conscious Daughters
1602,The Corrs
1603,The Cover Girls
1604,The Cranberries
1605,The Crooklyn Dodgers
1606,The Cure
1607,The Dove Shack
1608,The Escape Club
1609,The Fab 5
1612,The Farm
1613,The Fixx
1614,The Flaming Lips
1615,The Flavor Unit MC's
1616,The Fugees
1617,The Goodmen
1618,The Heartbreakers
1619,The Heights
1620,The Human League
1621,The Isley Brothers
1622,The Jeff Healey Band
1623,The Jesus And Mary Chain
1624,The Juliana Hatfield 3
1625,The KLF
1626,The Kenny Wayne Shepherd Band
1627,The Kinleys
1628,The Knack
1629,The La's
1630,The Lady Of Rage
1631,The Lemonheads
1632,The London Quireboys
1633,The Lox
1634,The Maad Circle
1635,The Mad Stuntman
1636,The Mighty Dub Katz
1637,The Movement
1638,The Murmurs
1639,The New Power Generation
1640,The Northern Pikes
1644,The O'Jays
1645,The Offspring
1646,The Original
1647,The Outfield
1648,The Outhere Brothers
1649,The Party
1650,The Peace Choir
1651,The Pharcyde
1652,The Police
1653,The Presidents Of The United States Of America
1654,The Proclaimers
1655,The Prodigy
1656,The Product
1657,The Puppies
1658,The Range
1659,The Rebel Pebbles
1660,The Rembrandts
1661,The Rentals
1662,The Righteous Brothers
1663,The Rolling Stones
1664,The Roots
1665,The Rude Boys
1666,The S.O.U.L. S.Y.S.T.E.M.
1667,The Shamen
1668,The Shocker
1669,The Simpsons
1670,The Smashing Pumpkins
1671,The Smithereens
1672,The Soul Convention
1673,The Sounds Of Blackness
1674,The Soup Dragons
1675,The Spinners
1676,The Steve Miller Band
1677,The Storm
1678,The Stray Mob
1679,The Stylistics
1680,The Time
1681,The Tokens
1682,The Tony Rich Project
1683,The Tractors
1684,The Triplets
1685,The Tuesdays
1686,The U-Krew
1687,The Verve
1688,The Verve Pipe
1689,The West Coast Rap All-Stars
1690,The Whispers
1693,The Wilkinsons
1694,The Williams Brothers
1695,The Wonders
1696,Third Eye Blind
1697,Thunder
1698,Tiana
1699,Tim McGraw
1702,Timmy T.
1703,Tina Arena
1704,Tina Turner
1705,Titiyo
1706,To Be Continued...
1707,Toad The Wet Sprocket
1708,Toby Keith
1709,Toby Keith With Sting
1710,Tom Cochrane
1711,Tom Petty
1712,Tommy Page
1713,Tone
1714,Tone-Loc
1717,Tony Terry
1718,Tony Thompson
1719,Tony Toni Tone
1720,Too $hort
1721,Too Short
1722,Tori Amos
1725,Trace Adkins
1726,Tracey Lee
1727,Tracie Spencer
1728,Tracy Byrd
1729,Tracy Chapman
1730,Tracy Lawrence
1731,"Tragedy, Capone, Infinite"
1732,Train
1733,Trapp
1736,Tray D
1737,Tre
1738,Trey Lorenz
1739,Tricia Leigh Fisher
1740,Trick Daddy
1741,Trilogy
1742,Trina
1745,Trisha Yearwood
1746,Trixter
1747,Troop
1748,Troy Newman
1749,Tru
1750,True Image
1751,Twinz
